energy,intensity
10,3.60706e-05
10.65,0.000139166
11.3,0.000699072
11.95,0.0047728
12.6,0.0308271
13.25,0.198009
13.9,1.26819
14.55,5.47379
15.2,19.8395
15.85,56.9479
16.5,135.612
17.15,292.868
17.8,549.378
18.45,935.7
19.1,1502.16
19.75,2200.9
20.4,3081.12
21.05,4176.84
21.7,5401.68
22.35,6830.17
23,8471.79
23.65,10141.4
24.3,11977.9
24.95,13925.1
25.6,15817.7
26.25,17791
26.9,19752.8
27.55,21598.2
28.2,23443.1
28.85,25176.5
29.5,26765.4
30.15,28294.3
30.8,29640.5
31.45,30830.7
32.1,31927.2
32.75,32821.9
33.4,33593.3
34.05,34273.2
34.7,34770.6
35.35,35179.3
36,35509.5
36.65,35687.8
37.3,35807.1
37.95,35856.1
38.6,35803.2
39.25,35705.7
39.9,35550.8
40.55,35315.9
41.2,35035.8
41.85,34688.7
42.5,34278
43.15,33832.1
43.8,33333.1
44.45,32794
45.1,32230.6
45.75,31627
46.4,31000.1
47.05,30357.5
47.7,29686.1
48.35,29002.9
49,28310.8
49.65,27599.3
50.3,26882.3
50.95,26158.5
51.6,25419.4
52.25,24676.9
52.9,23928.4
53.55,23171.4
54.2,22413.7
54.85,21652.3
55.5,20887.4
56.15,20124.1
56.8,19359.2
57.45,18594.8
58.1,17833.7
58.75,17072.8
59.4,26212.5
60.05,15562.6
60.7,14813.1
61.35,14070.1
62,13333.8
62.65,12602.5
63.3,11878.3
63.95,11160.9
64.6,10449.3
65.25,9744.93
65.9,9047.29
66.55,8356.1
67.2,7672.08
67.85,6994.84
68.5,10111.9
69.15,5469.55
69.8,4165.46
70.45,3474.81
71.1,2977.53
71.75,2479.9
72.4,1982.5
73.05,1485.67
73.7,989.388
74.35,494.112
75, 0
